------interval = 1------
value: 0.7737226502096238  |   index : 1  | accuracy: 0.0
value: 0.907472887583299  |   index : 2  | accuracy: 0.0
value: 1.0646171168543346  |   index : 3  | accuracy: 0.0
value: 1.0064510719642763  |   index : 4  | accuracy: 0.0
value: 1.0366233378915177  |   index : 5  | accuracy: 0.0
value: 1.1123270872388498  |   index : 6  | accuracy: 0.0
value: 0.9905741479606941  |   index : 7  | accuracy: 0.0
value: 0.8785341268009657  |   index : 8  | accuracy: 0.0
value: 0.742262038187119  |   index : 9  | accuracy: 0.0
value: 0.5687599464636425  |   index : 10  | accuracy: 0.0
value: 0.8127099001953997  |   index : 11  | accuracy: 0.0
value: 1.066801653028454  |   index : 12  | accuracy: 0.0
value: 1.2110356234413686  |   index : 13  | accuracy: 0.0
value: 1.1169627703869587  |   index : 14  | accuracy: 0.0
value: 0.8637701994891107  |   index : 15  | accuracy: 0.0
value: 0.7469025788370155  |   index : 16  | accuracy: 0.0
value: 0.5899200211956518  |   index : 17  | accuracy: 0.0
value: 0.7429885944330974  |   index : 18  | accuracy: 0.0
value: 0.8431222965403884  |   index : 19  | accuracy: 0.0
value: 0.9885891158907432  |   index : 20  | accuracy: 0.0
value: 1.0388564580501614  |   index : 21  | accuracy: 0.0
value: 1.003158337447642  |   index : 22  | accuracy: 0.0
value: 1.1734450182273257  |   index : 23  | accuracy: 0.0
value: 1.3060839770543298  |   index : 24  | accuracy: 0.0
value: 1.174885626356172  |   index : 25  | accuracy: 0.0
value: 1.0402221376047989  |   index : 26  | accuracy: 0.0
value: 1.2050240447257086  |   index : 27  | accuracy: 0.0
value: 1.2525716356258172  |   index : 28  | accuracy: 0.0
value: 1.1711991433936297  |   index : 29  | accuracy: 0.0
value: 1.2225783236669892  |   index : 30  | accuracy: 0.0
value: 1.1675111501834605  |   index : 31  | accuracy: 0.0
value: 2.3123657201019916  |   index : 32  | accuracy: 0.0
value: 3.956666054328811  |   index : 33  | accuracy: 0.0
value: 4.491193048582033  |   index : 34  | accuracy: 0.0
value: 4.746682192464963  |   index : 35  | accuracy: 0.0
value: 4.962277223535528  |   index : 36  | accuracy: 0.0
value: 4.991213763418381  |   index : 37  | accuracy: 0.0
value: 5.05627169837646  |   index : 38  | accuracy: 0.0
value: 5.029667015979144  |   index : 39  | accuracy: 0.0
value: 4.875997539842806  |   index : 40  | accuracy: 0.0
value: 4.920914994625991  |   index : 41  | accuracy: 0.0
value: 5.080916521438825  |   index : 42  | accuracy: 0.0
value: 5.0445825354594565  |   index : 43  | accuracy: 0.0
value: 4.899146543231016  |   index : 44  | accuracy: 0.0
value: 5.174535026346471  |   index : 45  | accuracy: 0.0
value: 5.230692313408214  |   index : 46  | accuracy: 0.0
value: 5.100333608457197  |   index : 47  | accuracy: 0.0
value: 5.135777095652319  |   index : 48  | accuracy: 0.0
value: 5.1529344489564375  |   index : 49  | accuracy: 0.0
value: 5.257392057577912  |   index : 50  | accuracy: 0.0
value: 5.149320575632094  |   index : 51  | accuracy: 0.0
value: 5.105680213981981  |   index : 52  | accuracy: 0.0
value: 5.141953303340653  |   index : 53  | accuracy: 0.0
value: 5.045323603021211  |   index : 54  | accuracy: 0.0
value: 5.103836081365773  |   index : 55  | accuracy: 0.0
value: 5.032173823545729  |   index : 56  | accuracy: 0.0
value: 4.804645974521067  |   index : 57  | accuracy: 0.0
value: 4.886521239307143  |   index : 58  | accuracy: 0.0
value: 4.93900285115991  |   index : 59  | accuracy: 0.0
value: 4.958945675304852  |   index : 60  | accuracy: 0.0
value: 5.227937086497959  |   index : 61  | accuracy: 0.0
value: 5.186383017761204  |   index : 62  | accuracy: 0.0
value: 4.998936183736284  |   index : 63  | accuracy: 0.0
value: 3.781676218542724  |   index : 64  | accuracy: 0.0
value: 1.9289503654617313  |   index : 65  | accuracy: 0.0
value: 1.2259720792202664  |   index : 66  | accuracy: 0.0
value: 1.108930577295427  |   index : 67  | accuracy: 0.0
value: 0.9921211751646113  |   index : 68  | accuracy: 0.0
value: 1.1265539921652306  |   index : 69  | accuracy: 0.0
value: 1.2014033950137346  |   index : 70  | accuracy: 0.0
value: 1.0087445759673528  |   index : 71  | accuracy: 0.0
value: 0.9985914263587825  |   index : 72  | accuracy: 0.0
value: 1.0393351260172399  |   index : 73  | accuracy: 0.0
value: 0.9493253596112454  |   index : 74  | accuracy: 0.0
value: 0.844652832768497  |   index : 75  | accuracy: 0.0
value: 0.8799207824968954  |   index : 76  | accuracy: 0.0
value: 0.9513895813657729  |   index : 77  | accuracy: 0.0
value: 0.879856542359537  |   index : 78  | accuracy: 0.0
value: 0.97081834025757  |   index : 79  | accuracy: 0.0
value: 0.8712956646989288  |   index : 80  | accuracy: 0.0
value: 0.9455328148494013  |   index : 81  | accuracy: 0.0
value: 1.2480062630917867  |   index : 82  | accuracy: 0.0
value: 1.1399427809503653  |   index : 83  | accuracy: 0.0
value: 0.9126629797241561  |   index : 84  | accuracy: 0.0
value: 0.8762529755943065  |   index : 85  | accuracy: 0.0
value: 1.0119497536121462  |   index : 86  | accuracy: 0.0
value: 1.2433866914534863  |   index : 87  | accuracy: 0.0
value: 1.2752513602669453  |   index : 88  | accuracy: 0.0
value: 0.9357128924274056  |   index : 89  | accuracy: 0.0
value: 0.8102676683175187  |   index : 90  | accuracy: 0.0
value: 1.0170407774213261  |   index : 91  | accuracy: 0.0
value: 1.0976154093001564  |   index : 92  | accuracy: 0.0
value: 0.9273489571586385  |   index : 93  | accuracy: 0.0
value: 0.748558296255596  |   index : 94  | accuracy: 0.0
value: 0.8428782032147859  |   index : 95  | accuracy: 0.0
value: 0.836333102044301  |   index : 96  | accuracy: 0.0
value: 0.7729143315946062  |   index : 97  | accuracy: 0.0
value: 1.0389044312703961  |   index : 98  | accuracy: 0.0
------interval = 2------
value: 0.8807308978100099  |   index : 2  | accuracy: 7.151340170346999E-4
value: 0.9524290149459524  |   index : 3  | accuracy: 0.012586170209805535
value: 0.9977122819701213  |   index : 4  | accuracy: 7.636645056194364E-5
value: 1.017933174001427  |   index : 5  | accuracy: 3.493222262384505E-4
value: 0.9994161635944115  |   index : 6  | accuracy: 0.012748876678240158
value: 0.9257439301089234  |   index : 7  | accuracy: 0.004202957146708045
value: 0.8229432410310124  |   index : 8  | accuracy: 0.0030903465806879967
value: 0.7744838111972194  |   index : 9  | accuracy: 0.0010382426559144365
value: 0.8091397103831457  |   index : 10  | accuracy: 0.0577824309019961
value: 0.9348341396491175  |   index : 11  | accuracy: 0.01491432986214902
value: 1.027754779377809  |   index : 12  | accuracy: 0.0015246583418894407
value: 1.030871502468873  |   index : 13  | accuracy: 0.03245911048579202
value: 0.9572523661119533  |   index : 14  | accuracy: 0.025507413233685657
value: 0.8377433336205209  |   index : 15  | accuracy: 6.773977469415658E-4
value: 0.7749613788396479  |   index : 16  | accuracy: 7.872962575877233E-4
